	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-97_S77_L001_paired_trim_R1	4.0	2.0	5.0	7.0	5.0	4.0	9.0	56.0	149.0	58.0	35.0	46.0	42.0	29.0	34.0	20.0	28.0	18.0	22.0	21.0	28.0	24.0	28.0	27.0	25.0	24.0	27.0	26.0	16.0	37.0	21.0	28.0	11.0	27.0	22.0	17.0	21.0	23.0	24.0	19.0	22.0	24.0	97.0	21099.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-97_S77_L001_paired_trim_R2	117.0	382.0	69.0	93.0	119.0	44.0	39.0	23.0	19.0	16.0	11.0	19.0	31.0	17.0	30.0	70.0	48.0	32.0	18.0	25.0	32.0	34.0	53.0	57.0	35.0	50.0	51.0	54.0	73.0	154.0	120.0	91.0	94.0	107.0	109.0	184.0	219.0	342.0	322.0	380.0	365.0	404.0	705.0	17054.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-98_S78_L001_paired_trim_R1	1.0	3.0	1.0	6.0	2.0	3.0	12.0	69.0	31.0	14.0	10.0	13.0	14.0	11.0	2.0	15.0	13.0	10.0	15.0	10.0	11.0	11.0	9.0	14.0	12.0	8.0	7.0	12.0	7.0	12.0	13.0	10.0	16.0	6.0	6.0	11.0	19.0	24.0	10.0	17.0	15.0	64.0	16344.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-98_S78_L001_paired_trim_R2	57.0	143.0	42.0	35.0	27.0	21.0	17.0	29.0	12.0	11.0	11.0	11.0	17.0	19.0	23.0	37.0	18.0	18.0	12.0	16.0	13.0	23.0	24.0	38.0	26.0	30.0	38.0	27.0	53.0	107.0	92.0	53.0	65.0	82.0	56.0	110.0	138.0	265.0	212.0	307.0	320.0	336.0	535.0	13387.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-99_S79_L001_paired_trim_R1	8.0	5.0	3.0	4.0	1.0	3.0	6.0	2.0	8.0	6.0	5.0	4.0	8.0	7.0	2.0	2.0	5.0	6.0	7.0	4.0	3.0	10.0	11.0	6.0	6.0	6.0	12.0	4.0	4.0	8.0	11.0	11.0	12.0	11.0	4.0	6.0	13.0	17.0	16.0	15.0	16.0	23.0	85.0	15456.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-99_S79_L001_paired_trim_R2	25.0	40.0	23.0	31.0	22.0	10.0	16.0	14.0	12.0	16.0	11.0	7.0	15.0	20.0	25.0	33.0	23.0	24.0	4.0	8.0	15.0	32.0	29.0	33.0	17.0	39.0	32.0	24.0	41.0	68.0	68.0	48.0	60.0	74.0	73.0	69.0	104.0	168.0	144.0	208.0	204.0	255.0	508.0	13170.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-61_S49_L001_paired_trim_R1	2.0	5.0	1.0	2.0	4.0	5.0	35.0	136.0	62.0	24.0	23.0	25.0	25.0	29.0	23.0	21.0	19.0	26.0	15.0	9.0	18.0	28.0	11.0	16.0	15.0	10.0	10.0	13.0	12.0	13.0	10.0	11.0	8.0	12.0	7.0	11.0	19.0	17.0	12.0	22.0	22.0	89.0	14556.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-61_S49_L001_paired_trim_R2	148.0	151.0	32.0	57.0	151.0	41.0	16.0	15.0	6.0	15.0	8.0	15.0	21.0	11.0	9.0	19.0	20.0	13.0	13.0	16.0	22.0	20.0	20.0	32.0	13.0	17.0	19.0	26.0	31.0	37.0	48.0	40.0	38.0	62.0	61.0	63.0	64.0	108.0	115.0	122.0	141.0	193.0	539.0	12825.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-62_S50_L001_paired_trim_R1	9.0	1.0	3.0	1.0	2.0	3.0	8.0	20.0	66.0	28.0	16.0	7.0	9.0	9.0	14.0	10.0	16.0	13.0	20.0	9.0	13.0	6.0	13.0	19.0	18.0	10.0	10.0	9.0	9.0	14.0	16.0	11.0	9.0	13.0	5.0	13.0	16.0	19.0	18.0	17.0	18.0	28.0	87.0	12332.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
